,Year,Category,Motivation,Prize Share,Laureate ID,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Winning_age,Age_x_x,Age_y_x,Age_x_y,Age_y_y,Age_x_x,Age_y_x,Age_x_y,Age_y_y
16,1903,Peace,The Nobel Peace Prize 1903 was awarded to Randal Cremer.,1/1,466,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male," Secretary, International Arbitration League, Member, British Parliament",,,1908-07-22,London,United Kingdom,75.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
17,1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2,4,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,1908-08-25,,France,51.0,56.0,,,,,,,
18,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,5,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France,44.0,47.0,,,,,,,
19,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Self,,Russian Empire (Poland),1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
20,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
21,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
22,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
23,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
24,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
25,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
26,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female," Sorbonne University, Paris, France",,,1934-07-04,Sallanches,France,36.0,67.0,,67.0,,67.0,,67.0,
27,1904,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1/1,163,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom,52.0,64.0,,,,,,,
28,1904,Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",1/2,573,Frédéric Mistral,1830-09-08,Maillane,France,Male,Self,,France,1914-03-25,Maillane,France,74.0,84.0,,84.0,,84.0,,84.0,
29,1904,Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",1/2,574,José Echegaray y Eizaguirre,1832-04-19,Madrid,Spain,Male,Self,,Spain,1916-09-04,Madrid,Spain,72.0,84.0,,84.0,,84.0,,84.0,
30,1904,Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1/1,296,Ivan Petrovich Pavlov,1849-09-14,Ryazan,Russia,Male,Military Medical Academy,St. Petersburg,Russia,1936-02-27,Leningrad,Russia,55.0,87.0,,,,,,,
31,1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1/1,8,Lord Rayleigh  John William Strutt ,1842-11-12,"Langford Grove, Maldon, Essex",United Kingdom,Male,Royal Institution of Great Britain,London,United Kingdom,1919-06-30,,United Kingdom,62.0,77.0,,,,,,,
32,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1/1,164,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Berlin,Prussia (Germany),Male,Munich University,Munich,Germany,1917-08-20,Starnberg,Germany,70.0,82.0,,,,,,,
33,1905,Literature,because of his outstanding merits as an epic writer,1/1,575,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,Self,,Poland,1916-11-15,Vevey,Switzerland,59.0,70.0,,70.0,,70.0,,70.0,
34,1905,Medicine,for his investigations and discoveries in relation to tuberculosis,1/1,297,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,1910-05-27,Baden-Baden,Germany,62.0,67.0,,,,,,,
35,1905,Peace,The Nobel Peace Prize 1905 was awarded to Bertha von Suttner.,1/1,468,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Prague,Austrian Empire (Czech Republic),Female," Author of <i>Lay Down Your Arms</i>, Honorary President of Permanent International Peace Bureau, Berne, Switzerland",,,1914-06-21,Vienna,Austria,62.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
36,1905,Physics,for his work on cathode rays,1/1,9,Philipp Eduard Anton von Lenard,1862-06-07,Pressburg (Bratislava),Hungary (Slovakia),Male,Kiel University,Kiel,Germany,1947-05-20,Messelhausen,Germany,43.0,85.0,,,,,,,
37,1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1/1,165,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907-02-20,Paris,France,54.0,55.0,,,,,,,
38,1906,Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1/1,576,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Male,Self,,Tuscany (Italy),1907-02-16,Bologna,Italy,71.0,72.0,,72.0,,72.0,,72.0,
39,1906,Medicine,in recognition of their work on the structure of the nervous system,1/2,298,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy,1926-01-21,Pavia,Italy,63.0,83.0,,,,,,,
40,1906,Medicine,in recognition of their work on the structure of the nervous system,1/2,299,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain,1934-10-17,Madrid,Spain,54.0,82.0,,,,,,,
41,1906,Peace,The Nobel Peace Prize 1906 was awarded to Theodore Roosevelt.,1/1,470,Theodore Roosevelt,1858-10-27,"New York, NY",United States of America,Male," Collaborator of various peace treaties, President of United States of America",,,1919-01-06,"Oyster Bay, NY",United States of America,48.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
42,1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1/1,10,Joseph John Thomson,1856-12-18,"Cheetham Hill, near Manchester",United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1940-08-30,Cambridge,United Kingdom,50.0,84.0,,,,,,,
43,1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation,1/1,166,Eduard Buchner,1860-05-20,Munich,Bavaria (Germany),Male,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1917-08-13,Focsani,Romania,47.0,57.0,,,,,,,
44,1907,Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",1/1,577,Rudyard Kipling,1865-12-30,Bombay,British India (India),Male,Self,,British India (India),1936-01-18,London,United Kingdom,42.0,71.0,,71.0,,71.0,,71.0,
45,1907,Medicine,in recognition of his work on the role played by protozoa in causing diseases,1/1,300,Charles Louis Alphonse Laveran,1845-06-18,Paris,France,Male,Institut Pasteur,Paris,France,1922-05-18,Paris,France,62.0,77.0,,,,,,,
46,1907,Peace,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault,1/2,471,Ernesto Teodoro Moneta,1833-09-20,Milan,Austrian Empire (Italy),Male," President, Lombard League of Peace",,,1918-02-10,Milan,Italy,74.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
47,1907,Peace,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault,1/2,472,Louis Renault,1843-05-21,Autun,France,Male,Sorbonne University,Paris,France,1918-02-08,Barbizon,France,64.0,75.0,75.0,,,,,,
48,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1/1,11,Albert Abraham Michelson,1852-12-19,Strelno (Strzelno),Prussia (Poland),Male,University of Chicago,"Chicago, IL",United States of America,1931-05-09,"Pasadena, CA",United States of America,55.0,79.0,,,,,,,
49,1908,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",1/1,167,Ernest Rutherford,1871-08-30,Nelson,New Zealand,Male,Victoria University,Manchester,United Kingdom,1937-10-19,Cambridge,United Kingdom,37.0,66.0,,,,,,,
50,1908,Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",1/1,578,Rudolf Christoph Eucken,1846-01-05,Aurich,East Friesland (Germany),Male,Self,,East Friesland (Germany),1926-09-14,Jena,Germany,62.0,80.0,,80.0,,80.0,,80.0,
51,1908,Medicine,in recognition of their work on immunity,1/2,301,Ilya Ilyich Mechnikov,1845-05-15,Kharkov (Kharkiv),Russian Empire (Ukraine),Male,Institut Pasteur,Paris,France,1916-07-15,Paris,France,63.0,71.0,,,,,,,
52,1908,Medicine,in recognition of their work on immunity,1/2,302,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Goettingen University,Göttingen,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany,54.0,61.0,,,,,,,
53,1908,Medicine,in recognition of their work on immunity,1/2,302,Paul Ehrlich,1854-03-14,Strehlen (Strzelin),Prussia (Poland),Male,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,Germany,1915-08-20,Bad Homburg vor der Höhe,Germany,54.0,61.0,,,,,,,
54,1908,Peace,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer,1/2,473,Klas Pontus Arnoldson,1844-10-27,Gothenburg,Sweden,Male," Founder of Swedish Peace and Arbitration League, Formerly Member of Swedish Parliament, Writer",,,1916-02-20,Stockholm,Sweden,64.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
55,1908,Peace,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer,1/2,474,Fredrik Bajer,1837-04-21,Næstved,Denmark,Male," Honorary President of Permanent International Peace Bureau, Berne, Switzerland, Member, Danish Parliament",,,1922-01-22,Copenhagen,Denmark,71.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
56,1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference,1/1,12,Gabriel Lippmann,1845-08-16,Hollerich,Luxembourg,Male,Sorbonne University,Paris,France,1921-07-13,,,63.0,76.0,,,,,,,
57,1909,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,1/1,168,Wilhelm Ostwald,1853-09-02,Riga,Russian Empire (Latvia),Male,Leipzig University,Leipzig,Germany,1932-04-04,Leipzig,Germany,56.0,79.0,,,,,,,
58,1909,Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",1/1,579,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Mårbacka,Sweden,Female,Self,,Sweden,1940-03-16,Mårbacka,Sweden,51.0,82.0,,82.0,,82.0,,82.0,
59,1909,Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland",1/1,303,Emil Theodor Kocher,1841-08-25,Berne,Switzerland,Male,Berne University,Berne,Switzerland,1917-07-27,Berne,Switzerland,68.0,76.0,,,,,,,
60,1909,Peace,"The Nobel Peace Prize 1909 was awarded jointly to Auguste Marie François Beernaert and Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1/2,475,Auguste Marie François Beernaert,1829-07-26,Ostend,Belgium,Male," Member of Cour Internationale d'arbitrage at the Hague, Member, Belgian Parliament, ex-Prime Minister",,,1912-10-06,Lucerne,Switzerland,80.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
61,1909,Peace,Not Specified,1/2,476,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,La Flèche,France,Male,Self,,France,1924-05-15,Paris,France,57.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
62,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,1/2,13,Guglielmo Marconi,1874-04-25,Bologna,Italy,Male,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1937-07-20,Rome,Italy,35.0,63.0,,,,,,,
63,1909,Physics,in recognition of their contributions to the development of wireless telegraphy,1/2,14,Karl Ferdinand Braun,1850-06-06,Fulda,Hesse-Kassel (Germany),Male,Strasbourg University,Strasbourg,"Alsace (then Germany, now France)",1918-04-20,"Brooklyn, NY",United States of America,59.0,68.0,,,,,,,
64,1910,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,1/1,169,Otto Wallach,1847-03-27,Koenigsberg (Kaliningrad),Germany (Russia),Male,Goettingen University,Göttingen,Germany,1931-02-26,Göttingen,Germany,63.0,84.0,,,,,,,
65,1910,Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",1/1,580,Paul Johann Ludwig Heyse,1830-03-15,Berlin,Prussia (Germany),Male,Self,,Prussia (Germany),1914-04-02,Munich,Germany,80.0,84.0,,84.0,,84.0,,84.0,
66,1910,Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1/1,304,Albrecht Kossel,1853-09-16,Rostock,Mecklenburg (Germany),Male,University of Heidelberg,Heidelberg,Germany,1927-07-05,Heidelberg,Germany,57.0,74.0,,,,,,,
67,1910,Physics,for his work on the equation of state for gases and liquids,1/1,15,Johannes Diderik van der Waals,1837-11-23,Leiden,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1923-03-08,Amsterdam,Netherlands,73.0,86.0,,,,,,,
68,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
69,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
70,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
71,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
72,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
73,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
74,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
75,1911,Chemistry,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1/1,6,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,Sorbonne University,Paris,France,1934-07-04,Sallanches,France,44.0,67.0,,67.0,,67.0,,67.0,
76,1911,Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",1/1,581,Count Maurice  Mooris  Polidore Marie Bernhard Maeterlinck,1862-08-29,Ghent,Belgium,Male,Self,,Belgium,1949-05-06,Nice,France,49.0,87.0,,87.0,,87.0,,87.0,
77,1911,Medicine,for his work on the dioptrics of the eye,1/1,305,Allvar Gullstrand,1862-06-05,Landskrona,Sweden,Male,Uppsala University,Uppsala,Sweden,1930-07-28,Stockholm,Sweden,49.0,68.0,,,,,,,
78,1911,Peace,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried,1/2,478,Tobias Michael Carel Asser,1838-04-28,Amsterdam,Netherlands,Male," Lawyer, Cabinet Minister, Initiator of the Conferences on International Private Law at the Hague",,,1913-07-29,the Hague,Netherlands,73.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
79,1911,Peace,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried,1/2,479,Alfred Hermann Fried,1864-11-11,Vienna,Austria,Male," Founder of <i>Die Friedenswarte</i> (a peace publication), Journalist",,,1921-05-05,Vienna,Austria,47.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
80,1911,Physics,for his discoveries regarding the laws governing the radiation of heat,1/1,16,Wilhelm Wien,1864-01-13,Gaffken (Parusnoye),Prussia (Russia),Male,Würzburg University,Würzburg,Germany,1928-08-30,Munich,Germany,47.0,64.0,,,,,,,
81,1912,Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",1/2,172,Victor Grignard,1871-05-06,Cherbourg,France,Male,Nancy University,Nancy,France,1935-12-13,Lyon,France,41.0,64.0,,,,,,,
82,1912,Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,1/2,173,Paul Sabatier,1854-11-05,Carcassonne,France,Male,Toulouse University,Toulouse,France,1941-08-14,Toulouse,France,58.0,87.0,,,,,,,
83,1912,Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",1/1,582,Gerhart Johann Robert Hauptmann,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,Self,,Prussia (Germany),1946-06-06,Agnetendorf (Jagniatków),Germany (Poland),50.0,84.0,,84.0,,84.0,,84.0,
84,1912,Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1/1,306,Alexis Carrel,1873-06-28,Sainte-Foy-lès-Lyon,France,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1944-11-05,Paris,France,39.0,71.0,,,,,,,
85,1912,Peace,The Nobel Peace Prize 1912 was awarded to Elihu Root.,1/1,480,Elihu Root,1845-02-15,"Clinton, NY",United States of America,Male," Originator of various treaties of arbitration, ex-Secretary of State",,,1937-02-07,"New York, NY",United States of America,67.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
86,1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1/1,17,Nils Gustaf Dalén,1869-11-30,Stenstorp,Sweden,Male,Swedish Gas-Accumulator Co.,Lidingö-Stockholm,Sweden,1937-12-09,Stockholm,Sweden,43.0,68.0,,,,,,,
87,1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1/1,174,Alfred Werner,1866-12-12,Mulhouse,France,Male,University of Zurich,Zurich,Switzerland,1919-11-15,Zurich,Switzerland,47.0,53.0,,,,,,,
88,1913,Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",1/1,583,Rabindranath Tagore,1861-05-07,Calcutta,India,Male,Self,,India,1941-08-07,Calcutta,India,52.0,80.0,,80.0,,80.0,,80.0,
